epoch,train_loss,train_mae,train_rmse,train_r2,val_loss,val_mae,val_rmse,val_r2,learning_rate
0,6335.251909255981,29.630854,79.79854,-0.13311422,4514.630862765842,23.798841,69.822136,-0.07617676,0.001
1,5686.318888982137,27.305864,75.59966,-0.017006159,4311.5741780598955,26.214848,68.13285,-0.024732351,0.001
2,5610.539302825928,28.014349,75.09424,-0.0034530163,4310.662095811632,25.545704,68.149536,-0.025234222,0.001
3,5616.319408416748,27.80588,75.13329,-0.004496932,4310.250128851996,25.54438,68.14631,-0.025137186,0.001
4,5615.740628560384,27.815378,75.12918,-0.0043871403,4310.077453613281,25.570717,68.14401,-0.025068164,0.001
5,5616.317485809326,27.801966,75.13305,-0.004490614,4306.795722113715,25.553028,68.11873,-0.024307609,0.001
6,5571.645177205403,27.31775,74.837074,0.0034079552,4224.384124755859,24.713903,67.51873,-0.0063427687,0.001
7,5328.278882980347,26.492474,73.18723,0.046864808,4085.02635023329,25.035055,66.405396,0.026571512,0.001
8,5131.198165893555,26.697142,71.82108,0.08211619,4020.630628797743,23.912981,65.868256,0.0422554,0.001
9,5056.263320922852,26.692253,71.29542,0.09550321,3955.4255574544272,24.530563,65.34061,0.05753845,0.001
10,4970.766333262126,26.393288,70.691,0.11077416,3898.887671576606,24.56316,64.88075,0.07075739,0.001
11,4905.657367706299,26.327307,70.226616,0.1224187,3847.128353542752,25.046349,64.44461,0.08320862,0.001
12,4863.113703409831,26.209505,69.92183,0.13001978,3789.8044874403213,24.491787,63.955956,0.09705913,0.001
13,4797.043359120687,26.286882,69.44408,0.1418677,3756.46194797092,24.132792,63.671577,0.10507107,0.001
14,4752.867355664571,25.814602,69.12428,0.14975291,3737.5879821777344,24.469152,63.50232,0.10982269,0.001
15,4703.395814259847,26.200577,68.76474,0.15857494,3545.279086642795,23.284164,61.897186,0.15425557,0.001
16,4545.927267074585,25.342281,67.60177,0.18679506,3510.9493781195747,23.60405,61.587795,0.16268933,0.001
17,4524.446838378906,25.316767,67.44369,0.19059384,3476.418463812934,23.296577,61.288223,0.17081505,0.001
18,4533.5318482716875,25.527664,67.511,0.18897736,3436.568186442057,22.980232,60.937035,0.18029052,0.001
19,4450.541947046916,24.939749,66.88957,0.2038393,3406.2838202582466,22.470943,60.66343,0.18763489,0.001
20,4442.59053293864,25.243372,66.83002,0.20525658,3358.1357862684463,23.241564,60.23161,0.19915909,0.001
21,4394.559745152791,24.781942,66.46759,0.21385306,3317.2613661024307,22.235083,59.857292,0.20908207,0.001
22,4405.301003774007,25.180422,66.5498,0.21190739,3296.3443840874565,22.544193,59.666973,0.21410358,0.001
23,4349.771685918172,24.508781,66.1266,0.2218985,3289.8313903808594,22.400148,59.60321,0.21578228,0.001
24,4335.97243754069,24.563072,66.023605,0.22432053,3272.633449978299,23.378963,59.45118,0.21977776,0.001
25,4288.715057690938,24.209034,65.66258,0.23278028,3219.7962307400176,22.84755,58.967262,0.23242772,0.001
26,4302.510403951009,24.334356,65.769394,0.2302823,3180.7669609917534,22.585274,58.605057,0.24182844,0.001
27,4266.667172749837,24.203424,65.49487,0.23669446,3176.367855495877,22.42058,58.565052,0.24286306,0.001
28,4295.347586313884,24.441378,65.71435,0.23157018,3128.4527418348525,22.583836,58.11441,0.25447017,0.001
29,4188.188752174377,23.688053,64.88919,0.2507469,3144.5409715440537,22.879025,58.26431,0.25061923,0.001
30,4170.451112747192,23.79869,64.751434,0.25392485,3103.2559678819443,22.824392,57.876095,0.2605722,0.001
31,4134.202007929484,23.559622,64.46995,0.26039737,3083.2630513509116,22.403929,57.68531,0.2654391,0.001
32,4149.022380828857,23.878143,64.583565,0.25778812,3040.002905951606,22.597033,57.2757,0.27583402,0.001
33,4049.2334321339927,22.91549,63.802254,0.2756377,3096.3236389160156,22.648884,57.804882,0.26239073,0.001
34,4158.077515284221,24.168642,64.655426,0.25613558,3018.6964484320747,22.874937,57.07204,0.2809747,0.001
35,3989.47346274058,22.64703,63.33022,0.28631628,3101.7605726453994,23.628908,57.830006,0.2617494,0.001
36,3988.7726567586265,23.21363,63.32577,0.28641653,2948.0279710557725,22.338604,56.3946,0.297943,0.001
37,3883.338832219442,22.455929,62.48215,0.30530244,2973.320878770616,22.407839,56.623596,0.29222995,0.001
38,3977.515220006307,23.521276,63.234844,0.2884642,2885.221445719401,22.022003,55.782257,0.31310636,0.001
39,3768.6682828267417,21.963718,61.551437,0.32584423,2929.812262641059,22.672794,56.194447,0.3029176,0.001
40,3747.248561223348,22.3887,61.377815,0.32964218,2784.665025499132,21.646503,54.793938,0.3372308,0.001
41,3685.3897755940757,21.984352,60.869003,0.3407104,2757.9525214301216,21.573452,54.529373,0.34361553,0.001
42,3585.780813852946,21.600925,60.040066,0.35854506,2695.6009284125435,21.235128,53.89929,0.35869682,0.001
43,3589.880873362223,21.890942,60.07497,0.357799,2601.4918551974824,21.246088,52.942406,0.38126504,0.001
44,3489.1919695536294,21.33234,59.22663,0.37580842,2558.371629503038,20.873503,52.50146,0.39152873,0.001
45,3464.6560303370156,21.312757,59.018345,0.38019103,2508.0246141221787,20.732498,51.979122,0.40357584,0.001
46,3427.0747509002686,21.229,58.69772,0.3869071,2507.760999891493,20.951328,51.97381,0.4036978,0.001
47,3356.3527139027915,20.85768,58.08863,0.39956492,2446.8782653808594,20.422491,51.332813,0.4183156,0.001
48,3329.5477488835654,21.169245,57.854443,0.40439647,2456.6146782769097,21.31279,51.4143,0.41646737,0.001
49,3298.562448501587,20.46964,57.584587,0.4099397,2396.5862426757812,20.77146,50.784004,0.43068683,0.001
50,3341.071543375651,21.138624,57.955715,0.40230948,2393.736829969618,20.957047,50.757545,0.43127996,0.001
51,3209.9385973612466,20.242628,56.802155,0.4258657,2399.860585530599,21.753593,50.785385,0.4306559,0.001
52,3193.29142443339,20.636562,56.65859,0.42876428,2324.2853325737847,20.448906,49.994854,0.4482429,0.001
53,3160.8660637537637,20.13819,56.370068,0.4345672,2369.990312364366,21.357922,50.456703,0.43800157,0.001
54,3160.252354939779,20.64348,56.36691,0.43463063,2263.4258863661025,20.023087,49.34203,0.46255833,0.001
55,3094.0462115605674,20.102142,55.76993,0.4465428,2277.9083624945747,20.745419,49.44183,0.46038198,0.001
56,3076.3642333348594,20.24826,55.61277,0.44965768,2197.521287706163,19.999186,48.596893,0.47866803,0.001
57,3004.19211769104,19.840483,54.955948,0.46258074,2183.2091708713106,20.223381,48.453804,0.48173362,0.001
58,3065.4534006118774,20.287857,55.513958,0.45161164,2152.8385552300347,19.682404,48.116394,0.4889263,0.001
59,2957.037218729655,19.618603,54.52296,0.4710158,2157.8505249023438,20.656696,48.153065,0.48814702,0.001
60,2986.0352652867637,19.90577,54.789505,0.4658311,2168.2926330566406,19.628807,48.268295,0.4856944,0.001
61,2967.378575642904,19.513891,54.616432,0.46920055,2259.4947645399307,21.412695,49.242565,0.46472293,0.001
62,2913.3991340001426,19.68589,54.118206,0.4788406,2121.9852362738716,19.765877,47.748432,0.49671322,0.001
63,2875.7151425679526,19.359245,53.768513,0.48555392,2079.148383246528,19.416424,47.27948,0.50655055,0.001
64,2981.8295497894287,20.074362,54.75086,0.46658444,2046.6518995496963,19.45483,46.893024,0.51458424,0.001
65,2894.834507624308,19.31183,53.94407,0.48218906,2113.4361199273003,20.32397,47.614117,0.4995407,0.001
66,2816.636468887329,19.472673,53.213516,0.49611926,2090.6600986056856,19.713314,47.362003,0.5048264,0.001
67,2783.01118183136,19.221684,52.892494,0.50218046,2075.8409118652344,20.150064,47.185314,0.50851417,0.001
68,2792.472738901774,19.595856,52.984207,0.50045264,2027.7035624186199,19.351673,46.681103,0.5189619,0.001
69,2708.4877138137817,19.12976,52.179962,0.51550275,2059.7436252170137,20.771025,46.996544,0.5124387,0.001
70,2763.0221029917398,19.464718,52.7041,0.50572044,2014.06591796875,19.418924,46.515236,0.52237415,0.001
71,2715.1887003580728,19.031506,52.242607,0.5143387,1987.9077250162761,20.710062,46.159653,0.52964866,0.001
72,2741.609945933024,19.681463,52.498947,0.50956094,1921.05418226454,19.399511,45.408237,0.54483736,0.001
73,2668.817679087321,18.848011,51.794773,0.5226294,2020.509494357639,20.621138,46.542835,0.5218072,0.001
74,2626.17445341746,18.887272,51.381058,0.530225,1890.9029541015625,18.880312,45.04581,0.5520741,0.001
75,2616.4402405420938,18.826962,51.284096,0.53199637,1913.3721618652344,20.421953,45.270718,0.54759014,0.001
76,2651.791999181112,19.364935,51.633003,0.52560663,1888.0508151584202,18.963646,45.022427,0.5525391,0.001
77,2571.47500705719,18.628342,50.842625,0.54001915,1871.075436062283,20.476614,44.785988,0.5572265,0.001
78,2506.1882305145264,18.665024,50.19167,0.55172235,1963.1092834472656,18.970879,45.892563,0.535076,0.001
79,2532.416597366333,18.514214,50.453163,0.54703915,1876.661844889323,20.378448,44.833397,0.55628854,0.001
80,2569.288596789042,18.942682,50.822685,0.5403799,1836.5062425401475,18.555733,44.395954,0.5649049,0.001
81,2447.4671036402383,18.29209,49.602684,0.5621815,1758.944573296441,18.686209,43.440834,0.5834246,0.001
82,2441.977033138275,18.786276,49.544666,0.563205,1828.4509175618489,18.471045,44.288,0.5670184,0.001
83,2359.7318938573203,18.306068,48.70386,0.5779046,1820.7959289550781,19.089405,44.199543,0.5687462,0.001
84,2423.0460596084595,18.55693,49.354942,0.56654394,1719.0985989040798,18.512491,42.93629,0.59304506,0.001
85,2314.9214873313904,18.164415,48.240173,0.58590347,1742.4954359266494,18.612112,43.224346,0.58756626,0.001
86,2363.356477419535,18.490622,48.74116,0.5772579,1791.3833516438801,18.382511,43.81842,0.5761514,0.001
87,2361.4102398554483,18.09257,48.720222,0.577621,1748.1613905164932,18.286636,43.296482,0.58618855,0.001
88,2454.725364049276,18.712702,49.676273,0.5608814,1751.1719529893662,18.413889,43.327663,0.58559227,0.001
89,2347.5419297218323,18.007843,48.578022,0.58008295,1935.9383782280815,20.385729,45.475018,0.5434976,0.001
90,2285.7833506266275,18.082327,47.93473,0.59113085,1710.308817545573,18.327831,42.822964,0.5951904,0.001
91,2372.6662998199463,18.125492,48.83472,0.57563335,1860.3248630099827,19.969357,44.577663,0.5613361,0.001
92,2298.4336636861167,18.503094,48.06913,0.58883476,1732.362084282769,18.419575,43.10724,0.58979803,0.001
93,2237.3325061798096,18.034409,47.42138,0.59984136,1756.7584533691406,19.35803,43.3225,0.585691,0.001
94,2209.981556415558,17.99466,47.134026,0.60467625,1782.1902601453994,18.360218,43.706234,0.57831895,0.001
95,2235.176696459452,18.078506,47.401157,0.6001826,1727.2528415256077,18.817183,42.98254,0.59216785,0.001
96,2329.8409892717996,18.547209,48.396145,0.58322144,1632.9348653157551,18.185154,41.839714,0.6135665,0.001
97,2241.034337679545,17.94029,47.46267,0.5991442,1750.1585116916233,18.974031,43.23913,0.58728415,0.001
98,2164.3799878756204,17.854877,46.645138,0.6128346,1528.5039740668403,17.843197,40.455048,0.638721,0.001
99,2156.7603467305503,17.729143,46.56207,0.61421233,1742.1709933810764,19.349602,43.16493,0.58869934,0.001
100,2156.870486895243,18.253159,46.563892,0.6141821,1631.1663174099392,18.531048,41.790188,0.61448085,0.001
101,2119.6538801193237,17.7944,46.155792,0.6209153,1707.7624409993489,19.6448,42.686874,0.59775925,0.001
102,2170.3307472864785,18.399343,46.709923,0.61175835,1578.4082404242622,18.117361,41.12412,0.626672,0.001
103,2083.33466164271,17.714666,45.76354,0.6273312,1652.949462890625,18.602821,42.089363,0.6089412,0.001
104,2099.382063706716,17.725513,45.938503,0.6244762,1598.6845092773438,18.322704,41.395935,0.62172055,0.001
105,2244.930130004883,17.619944,47.503204,0.59845924,1578.5166931152344,18.814438,41.087692,0.62733305,0.001
106,2065.054796218872,17.636919,45.56176,0.6306103,1564.0789998372395,18.050694,40.93126,0.63016534,0.001
107,2144.3522033691406,17.535233,46.426327,0.6164584,1715.2148335774739,19.42689,42.79416,0.59573483,0.0005
108,2006.14684232076,17.526009,44.906857,0.6411531,1549.609083387587,18.341282,40.704613,0.63424975,0.0005
109,2023.1382358868916,17.25966,45.09776,0.63809574,1539.3922729492188,18.47983,40.564194,0.6367689,0.0005
110,2089.5884935061135,17.21561,45.833717,0.6261874,1651.344017876519,18.333107,42.05897,0.6095058,0.0005
111,1988.6352383295696,17.047428,44.711758,0.6442644,1608.6199035644531,18.09151,41.49387,0.6199286,0.0005
112,1906.148552576701,17.107605,43.77358,0.6590364,1596.8560791015625,18.169249,41.358723,0.6224004,0.0005
113,1868.7895816167195,16.999466,43.34336,0.6657057,1514.3910149468315,17.98097,40.240993,0.642534,0.0005
114,1904.1727561950684,16.966871,43.7521,0.6593709,1578.9630126953125,18.236347,41.094963,0.6272012,0.0005
115,1872.8642183939617,16.89536,43.39055,0.66497743,1538.637919108073,18.038145,40.569973,0.63666534,0.0005
116,1788.4925031661987,16.843246,42.401653,0.6800741,1570.9245741102432,17.993439,41.016342,0.6286262,0.0005
117,1839.2603975931804,16.783634,42.998844,0.6709988,1584.789771185981,18.268444,41.15681,0.62607825,0.0005
118,1788.7425141334534,16.866121,42.404953,0.68002427,1527.5560201009114,17.979616,40.435863,0.6390635,0.0005
119,1855.627492904663,16.824533,43.190186,0.66806436,1551.2849019368489,18.24355,40.724785,0.6338872,0.0005
120,1818.2857426007588,16.787823,42.7536,0.6747411,1534.2468668619792,17.990158,40.521736,0.6375289,0.0005
121,1825.0981874465942,16.726522,42.83261,0.67353773,1619.519314236111,18.20847,41.638054,0.6172826,0.0005
122,1756.2800645828247,16.744184,42.01786,0.6858394,1522.7287970648872,17.820082,40.383377,0.63999987,0.00025
123,1809.9957501093547,16.611742,42.656105,0.6762228,1563.3614095052083,17.983181,40.921345,0.6303445,0.00025
124,1730.0673185984294,16.754175,41.702904,0.6905315,1580.7359754774307,18.019255,41.15023,0.62619776,0.00025
125,1759.7949136098225,16.669752,42.06046,0.6852021,1580.7931077745225,17.84576,41.157528,0.62606525,0.00025
126,1734.110954284668,16.64399,41.75212,0.6898006,1563.6007520887588,17.846724,40.925587,0.6302679,0.00025
127,1669.6691365242004,16.546673,40.968082,0.7013414,1593.87107679579,17.922369,41.33307,0.62286866,0.00025
128,1727.0278460184734,16.552103,41.66616,0.6910766,1577.6785990397136,17.837399,41.12589,0.6266399,0.00025
129,1741.5485391616821,16.520458,41.841595,0.6884697,1591.299777560764,17.89931,41.297077,0.62352514,0.00025
130,1686.34810479482,16.507273,41.172924,0.69834733,1584.7415364583333,17.881247,41.216393,0.62499475,0.00025
131,1790.5716152191162,16.365005,42.426666,0.67969656,1547.350589328342,17.726126,40.716564,0.63403493,0.000125
132,1694.5889406204224,16.35981,41.27334,0.69687414,1603.8851114908855,18.078806,41.46352,0.62048435,0.000125
133,1673.9006832440693,16.38735,41.019375,0.70059305,1609.2363586425781,18.09175,41.53536,0.61916816,0.000125
134,1737.2032958666484,16.355135,41.78915,0.6892502,1613.5519205729167,18.134497,41.590492,0.61815643,0.000125
135,1675.6944176355998,16.331335,41.04224,0.7002592,1615.7531094021267,18.20878,41.619247,0.6176283,0.000125
136,1724.66037384669,16.302547,41.638336,0.69148904,1623.6967875162761,18.201694,41.7193,0.6157876,0.000125
137,1611.81191889445,16.243866,40.25245,0.71168417,1607.0713806152344,18.00543,41.504494,0.6197339,0.000125
138,1673.1779390970867,16.213934,41.011242,0.7007117,1606.9635687934028,18.042847,41.50592,0.6197078,0.000125
