epoch,train_loss,train_mse,train_mae,train_ccc,val_loss,val_mse,val_mae,val_ccc,lr,growth_rate,decay_rate,diffusion_coef,spike_count
0,1.00467365352731,274362.65625,206.80166625976562,0.0009984254138544202,2.418493390083313,1453188.75,315.3169250488281,0.0011250823736190796,9.5e-06,0.0991581380367279,0.050841011106967926,0.010818136855959892,0
1,0.8575373950757479,269605.625,196.802978515625,0.01686636172235012,2.3979416340589523,1447025.0,308.1951904296875,0.006487115286290646,1.9e-05,0.09692053496837616,0.053072113543748856,0.012490741908550262,0
2,0.8297681557504755,261639.1875,179.983154296875,0.05363699793815613,2.3561325818300247,1433519.125,300.3988342285156,0.01879993826150894,2.85e-05,0.09419041126966476,0.055786147713661194,0.01150315161794424,0
3,0.7531399319046422,247989.578125,163.36715698242188,0.1304924190044403,2.270833283662796,1400402.375,295.2083435058594,0.04485949128866196,3.8e-05,0.09030363708734512,0.059661298990249634,0.008162260986864567,0
4,0.6655251799445403,230216.953125,148.5443878173828,0.2483716756105423,2.177219219505787,1363803.875,292.5153503417969,0.08414885401725769,4.75e-05,0.08146309852600098,0.06863880902528763,0.009024088270962238,0
5,0.5849848138658624,209967.34375,132.01634216308594,0.35661739110946655,2.09887283295393,1328478.125,285.5183410644531,0.11814475804567337,5.7e-05,0.07449150085449219,0.07570541650056839,0.01221292745321989,0
6,0.520341335158599,192381.015625,122.80812072753906,0.43804362416267395,2.0375721752643585,1299452.375,274.24591064453125,0.14547288417816162,6.65e-05,0.07384692132472992,0.0761929601430893,0.01746092177927494,0
7,0.47181155179676254,176356.625,115.7796401977539,0.5055553317070007,1.9891617894172668,1275662.625,272.3630065917969,0.17542795836925507,7.6e-05,0.07303586602210999,0.0768246278166771,0.020590974017977715,0
8,0.4391333005930248,163111.8125,112.46072387695312,0.5633774995803833,1.960838995873928,1260694.625,265.5209045410156,0.18996180593967438,8.55e-05,0.07002118974924088,0.07967466115951538,0.03020666539669037,1
9,0.41696851661330775,153545.40625,111.11971282958984,0.602989673614502,1.9401329681277275,1246101.75,263.1805114746094,0.19820713996887207,9.5e-05,0.06230245530605316,0.08722216635942459,0.03644656389951706,2
10,0.39058570642220347,147731.671875,111.00509643554688,0.6319307088851929,1.912318080663681,1229253.125,269.5980224609375,0.21753638982772827,9.993911347284109e-05,0.05484100803732872,0.09436174482107162,0.04784969985485077,3
11,0.3593926688558177,139972.734375,108.09835052490234,0.6565850973129272,1.8938624262809753,1218411.375,263.0899963378906,0.22342805564403534,9.941172660922498e-05,0.04837270453572273,0.10051124542951584,0.056249987334012985,3
12,0.3650478657923247,134481.875,106.04061126708984,0.6729215383529663,1.8826509043574333,1211177.375,260.2654113769531,0.22492899000644684,9.834845263344136e-05,0.04186997562646866,0.10646543651819229,0.06020704284310341,3
13,0.33467159537892593,129235.296875,104.92205810546875,0.693909764289856,1.873823806643486,1204439.875,256.33343505859375,0.22341758012771606,9.676094099767333e-05,0.033122219145298004,0.1150669977068901,0.06172466650605202,4
14,0.3325211884159791,125295.328125,104.4156723022461,0.7023009061813354,1.8579585552215576,1196153.625,253.47183227539062,0.23243914544582367,9.466658481161052e-05,0.031058654189109802,0.11666050553321838,0.06507354974746704,5
15,0.3589191264227817,121942.6171875,103.65319061279297,0.7136880159378052,1.8499479591846466,1191985.125,251.3785400390625,0.23326019942760468,9.208833027989965e-05,0.023729078471660614,0.12393845617771149,0.06771213561296463,6
16,0.34732028920399516,117524.9296875,102.6195068359375,0.7258246541023254,1.8242785260081291,1179132.5,251.50550842285156,0.2516912817955017,8.905442529872457e-05,0.02325872704386711,0.12393692880868912,0.06911302357912064,7
17,0.31863385203637573,117198.8515625,102.94098663330078,0.7361517548561096,1.842918448150158,1188121.5,247.30137634277344,0.2336263209581375,8.55981099659445e-05,0.017066944390535355,0.1301203817129135,0.06803462654352188,8
18,0.3050834865946519,115116.9140625,101.8806381225586,0.7366376519203186,1.848139189183712,1188422.25,246.5415802001953,0.2291640192270279,8.175725239562585e-05,0.015101302415132523,0.1316658854484558,0.06493555009365082,9
19,0.30569885357430104,112976.2578125,102.06563568115234,0.7406351566314697,1.807247057557106,1168339.875,249.06471252441406,0.2572243809700012,7.757393382706014e-05,0.013989709317684174,0.13249032199382782,0.0634138360619545,10
20,0.3016619345075206,112248.84375,100.7246322631836,0.7476460337638855,1.8135250881314278,1173702.375,244.75299072265625,0.24936753511428833,7.309398757390027e-05,0.011051126755774021,0.13529165089130402,0.060828253626823425,11
21,0.3317849447852687,110382.7109375,99.91007232666016,0.7545256018638611,1.8119306042790413,1172710.125,245.44241333007812,0.24822497367858887,6.836649686478489e-05,0.008128183893859386,0.13808560371398926,0.06091766804456711,12
22,0.2901543018065001,110225.71875,100.51525115966797,0.7530425786972046,1.7900139093399048,1159687.75,244.01806640625,0.2655855417251587,6.344325707721409e-05,0.010070337913930416,0.1358601152896881,0.05991256982088089,12
23,0.2821432485392219,109735.953125,99.0122299194336,0.7571722865104675,1.7897527292370796,1161184.375,249.5217742919922,0.26646772027015686,5.8378208256554656e-05,0.005688277538865805,0.14026673138141632,0.058638811111450195,12
24,0.2770522330936633,109290.1953125,100.50232696533203,0.7605717778205872,1.7814689129590988,1156003.625,246.781494140625,0.2708330452442169,5.322684413761533e-05,0.005658404435962439,0.14009958505630493,0.05685888230800629,12
25,0.2749861361164796,107202.7890625,98.86788940429688,0.7619290351867676,1.7872663214802742,1159695.75,243.78697204589844,0.26277956366539,4.8045604143675494e-05,0.00392481405287981,0.1417994499206543,0.05489596724510193,13
26,0.27599896490573883,107228.1171875,98.7247314453125,0.7629216909408569,1.7799385637044907,1155419.25,244.4613037109375,0.2686474323272705,4.289125502435289e-05,0.0037887180224061012,0.14182019233703613,0.052396442741155624,13
27,0.291350823483969,106669.2265625,99.6327133178711,0.7687655687332153,1.7817387357354164,1156539.25,241.59776306152344,0.26583021879196167,3.782026890721573e-05,0.0034909346140921116,0.14208297431468964,0.05080219730734825,13
28,0.26586917003518656,105956.09375,98.86614990234375,0.7675309777259827,1.7782247439026833,1154868.0,242.27586364746094,0.26834216713905334,3.2888204577335426e-05,0.00272588268853724,0.14286239445209503,0.049272291362285614,13
29,0.2636152976437619,106289.46875,97.84154510498047,0.7680997252464294,1.7848533317446709,1158899.25,241.02015686035156,0.2629440426826477,2.8149098763610985e-05,0.0019165101693943143,0.14361952245235443,0.04751305654644966,13
30,0.28251597912688003,105632.40625,97.25907135009766,0.7688096761703491,1.77247154712677,1151684.75,242.92501831054688,0.2724301815032959,2.365487410105918e-05,0.0019270465709269047,0.14359401166439056,0.047062184661626816,15
31,0.2703547556149332,105940.6484375,98.05435943603516,0.7694927453994751,1.7762439027428627,1153936.125,240.97093200683594,0.2688968777656555,1.9454770255559917e-05,0.002122048521414399,0.1433560699224472,0.046054907143116,16
32,0.27470365637227107,106100.8828125,98.04946899414062,0.7702860236167908,1.7761431857943535,1154001.5,241.05484008789062,0.268599271774292,1.559480444377274e-05,0.00191196717787534,0.14355210959911346,0.045276496559381485,18
33,0.2670085273290935,105103.0859375,96.80197143554688,0.7685216069221497,1.772216871380806,1151837.0,242.0284423828125,0.2713848054409027,1.2117267258881336e-05,0.0016330948565155268,0.14385277032852173,0.044386353343725204,18
34,0.27294453978538513,105316.078125,98.06594848632812,0.7720515131950378,1.7698352113366127,1150885.25,241.9325408935547,0.2735612988471985,9.060259326004838e-06,0.0016094627790153027,0.1438555270433426,0.04441968724131584,19
35,0.29614813704239695,105191.6171875,96.79419708251953,0.7700707316398621,1.7748361229896545,1153451.125,241.05667114257812,0.26913580298423767,6.457273863775868e-06,0.0014114630175754428,0.1440529227256775,0.04370667785406113,20
36,0.2949597906125219,106255.546875,97.67769622802734,0.7703534364700317,1.768714539706707,1150035.125,242.00953674316406,0.27427971363067627,4.336829725628334e-06,0.0016798449214547873,0.14378415048122406,0.04357868432998657,21
